Unnamed: 0,ZipCode,CountyFIPS,CensusTract,CensusBlock,Assigned-or-Unassigned-USDA-Classification,State-County-TractFIPSCode,State-County FIPS Code,Select State,Select County,Total-FIPS-Code,Primary RUCA Code 2010,UrbanThreshold,RuralThreshold,Urban-or-Rural-USDA-Classification,Urban-or-Rural-CENSUS-Classification,Match/Mismatch
2496,53546,55105.0,1304,1023.0,Assigned,55105001304,55105.0,WI,Rock County,55105001304.0,1.0,,,Urban,,Mismatch
2498,53045,55133.0,201202,1027.0,Assigned,55133201202,55133.0,WI,Waukesha County,55133201202.0,1.0,,,Urban,,Mismatch
2504,53546,55105.0,1304,1023.0,Assigned,55105001304,55105.0,WI,Rock County,55105001304.0,1.0,,,Urban,,Mismatch
2521,53597,55025.0,11200,2004.0,Assigned,55025011200,55025.0,WI,Dane County,55025011200.0,1.0,,,Urban,,Mismatch
2531,54650,55063.0,10402,6005.0,Assigned,55063010402,55063.0,WI,La Crosse County,55063010402.0,1.0,,,Urban,,Mismatch
2536,53593,55025.0,10904,1006.0,Assigned,55025010904,55025.0,WI,Dane County,55025010904.0,1.0,,,Urban,,Mismatch
2538,53597,55025.0,11102,1000.0,Assigned,55025011102,55025.0,WI,Dane County,55025011102.0,1.0,,,Urban,,Mismatch
2541,53562,55025.0,10901,1080.0,Assigned,55025010901,55025.0,WI,Dane County,55025010901.0,1.0,,,Urban,,Mismatch
2542,53562,55025.0,11102,6000.0,Assigned,55025011102,55025.0,WI,Dane County,55025011102.0,1.0,,,Urban,,Mismatch
2546,53593,55025.0,10800,3015.0,Assigned,55025010800,55025.0,WI,Dane County,55025010800.0,1.0,,,Urban,,Mismatch
2564,53024,55089.0,640100,5029.0,Assigned,55089640100,55089.0,WI,Ozaukee County,55089640100.0,1.0,,,Urban,,Mismatch
2573,53024,55089.0,640100,5029.0,Assigned,55089640100,55089.0,WI,Ozaukee County,55089640100.0,1.0,,,Urban,,Mismatch
2578,53223,55079.0,50102,5021.0,Assigned,55079050102,55079.0,WI,Milwaukee County,55079050102.0,1.0,,,Urban,,Mismatch
2585,53597,55025.0,11200,2015.0,Assigned,55025011200,55025.0,WI,Dane County,55025011200.0,1.0,,,Urban,,Mismatch
2590,53154,55079.0,160204,1011.0,Assigned,55079160204,55079.0,WI,Milwaukee County,55079160204.0,1.0,,,Urban,,Mismatch
2591,53546,55105.0,1304,2009.0,Assigned,55105001304,55105.0,WI,Rock County,55105001304.0,1.0,,,Urban,,Mismatch
2595,53590,55025.0,11503,2059.0,Assigned,55025011503,55025.0,WI,Dane County,55025011503.0,1.0,,,Urban,,Mismatch
2596,53154,55079.0,160100,2000.0,Assigned,55079160100,55079.0,WI,Milwaukee County,55079160100.0,1.0,,,Urban,,Mismatch
2598,53597,55025.0,11200,2082.0,Assigned,55025011200,55025.0,WI,Dane County,55025011200.0,1.0,,,Urban,,Mismatch
2603,53590,55025.0,11503,2059.0,Assigned,55025011503,55025.0,WI,Dane County,55025011503.0,1.0,,,Urban,,Mismatch
2607,53597,55025.0,11200,2082.0,Assigned,55025011200,55025.0,WI,Dane County,55025011200.0,1.0,,,Urban,,Mismatch
2610,54956,55139.0,3702,4039.0,Assigned,55139003702,55139.0,WI,Winnebago County,55139003702.0,1.0,,,Urban,,Mismatch
2621,53593,55025.0,10904,4041.0,Assigned,55025010904,55025.0,WI,Dane County,55025010904.0,1.0,,,Urban,,Mismatch
2622,53597,55025.0,11200,2015.0,Assigned,55025011200,55025.0,WI,Dane County,55025011200.0,1.0,,,Urban,,Mismatch
2636,53562,55025.0,10904,2051.0,Assigned,55025010904,55025.0,WI,Dane County,55025010904.0,1.0,,,Urban,,Mismatch
2637,53590,55025.0,11402,3111.0,Assigned,55025011402,55025.0,WI,Dane County,55025011402.0,1.0,,,Urban,,Mismatch
2642,53590,55025.0,11402,3152.0,Assigned,55025011402,55025.0,WI,Dane County,55025011402.0,1.0,,,Urban,,Mismatch
2651,53719,55025.0,405,4010.0,Assigned,55025000405,55025.0,WI,Dane County,55025000405.0,1.0,,,Urban,,Mismatch
2652,53532,55025.0,11402,3013.0,Assigned,55025011402,55025.0,WI,Dane County,55025011402.0,1.0,,,Urban,,Mismatch
2658,53593,55025.0,10800,1020.0,Assigned,55025010800,55025.0,WI,Dane County,55025010800.0,1.0,,,Urban,,Mismatch
2659,53719,55025.0,503,4005.0,Assigned,55025000503,55025.0,WI,Dane County,55025000503.0,1.0,,,Urban,,Mismatch
2660,53562,55025.0,10904,2045.0,Assigned,55025010904,55025.0,WI,Dane County,55025010904.0,1.0,,,Urban,,Mismatch
2666,54963,55139.0,2000,3058.0,Assigned,55139002000,55139.0,WI,Winnebago County,55139002000.0,2.0,,,Urban,,Mismatch
2667,54002,55109.0,120800,5055.0,Assigned,55109120800,55109.0,WI,St. Croix County,55109120800.0,7.0,,,Urban,,Mismatch
2673,54937,55039.0,42000,2017.0,Assigned,55039042000,55039.0,WI,Fond du Lac County,55039042000.0,1.0,,,Urban,,Mismatch
2677,53704,55025.0,1900,1010.0,Assigned,55025001900,55025.0,WI,Dane County,55025001900.0,1.0,,,Urban,,Mismatch
2679,53717,55025.0,10901,1113.0,Assigned,55025010901,55025.0,WI,Dane County,55025010901.0,1.0,,,Urban,,Mismatch
2687,53094,55055.0,100300,1070.0,Assigned,55055100300,55055.0,WI,Jefferson County,55055100300.0,4.0,,,Urban,,Mismatch
2688,53703,55025.0,1705,2006.0,Assigned,55025001705,55025.0,WI,Dane County,55025001705.0,1.0,,,Urban,,Mismatch
2698,53562,55025.0,11102,4003.0,Assigned,55025011102,55025.0,WI,Dane County,55025011102.0,1.0,,,Urban,,Mismatch
2701,53703,55025.0,1900,3029.0,Assigned,55025001900,55025.0,WI,Dane County,55025001900.0,1.0,,,Urban,,Mismatch
2706,53154,55079.0,160300,4006.0,Assigned,55079160300,55079.0,WI,Milwaukee County,55079160300.0,1.0,,,Urban,,Mismatch
2707,53562,55025.0,10904,3027.0,Assigned,55025010904,55025.0,WI,Dane County,55025010904.0,1.0,,,Urban,,Mismatch
2723,54650,55063.0,10201,2034.0,Assigned,55063010201,55063.0,WI,La Crosse County,55063010201.0,1.0,,,Urban,,Mismatch
2726,53704,55025.0,1900,5010.0,Assigned,55025001900,55025.0,WI,Dane County,55025001900.0,1.0,,,Urban,,Mismatch
2731,53719,55025.0,503,4005.0,Assigned,55025000503,55025.0,WI,Dane County,55025000503.0,1.0,,,Urban,,Mismatch
2740,53719,55025.0,503,3022.0,Assigned,55025000503,55025.0,WI,Dane County,55025000503.0,1.0,,,Urban,,Mismatch
2745,53562,55025.0,11102,1004.0,Assigned,55025011102,55025.0,WI,Dane County,55025011102.0,1.0,,,Urban,,Mismatch
2751,53719,55025.0,10800,5038.0,Assigned,55025010800,55025.0,WI,Dane County,55025010800.0,1.0,,,Urban,,Mismatch
2757,53154,55079.0,160300,1002.0,Assigned,55079160300,55079.0,WI,Milwaukee County,55079160300.0,1.0,,,Urban,,Mismatch
2762,53024,55089.0,640100,5030.0,Assigned,55089640100,55089.0,WI,Ozaukee County,55089640100.0,1.0,,,Urban,,Mismatch
2781,53562,55025.0,11102,1007.0,Assigned,55025011102,55025.0,WI,Dane County,55025011102.0,1.0,,,Urban,,Mismatch
2791,53562,55025.0,11102,2032.0,Assigned,55025011102,55025.0,WI,Dane County,55025011102.0,1.0,,,Urban,,Mismatch
2804,53209,55079.0,50102,4016.0,Assigned,55079050102,55079.0,WI,Milwaukee County,55079050102.0,1.0,,,Urban,,Mismatch
2806,53154,55079.0,160300,4006.0,Assigned,55079160300,55079.0,WI,Milwaukee County,55079160300.0,1.0,,,Urban,,Mismatch
2837,54942,55087.0,12601,1005.0,Assigned,55087012601,55087.0,WI,Outagamie County,55087012601.0,1.0,,,Urban,,Mismatch
2839,54650,55063.0,10402,4015.0,Assigned,55063010402,55063.0,WI,La Crosse County,55063010402.0,1.0,,,Urban,,Mismatch
2846,53188,55133.0,203102,4025.0,Assigned,55133203102,55133.0,WI,Waukesha County,55133203102.0,1.0,,,Urban,,Mismatch
2847,53597,55025.0,11200,2082.0,Assigned,55025011200,55025.0,WI,Dane County,55025011200.0,1.0,,,Urban,,Mismatch
2849,53189,55133.0,203804,5011.0,Assigned,55133203804,55133.0,WI,Waukesha County,55133203804.0,1.0,,,Urban,,Mismatch
2853,53122,55133.0,201000,5018.0,Assigned,55133201000,55133.0,WI,Waukesha County,55133201000.0,1.0,,,Urban,,Mismatch
2860,53597,55025.0,11200,2013.0,Assigned,55025011200,55025.0,WI,Dane County,55025011200.0,1.0,,,Urban,,Mismatch
2864,53704,55025.0,1900,1009.0,Assigned,55025001900,55025.0,WI,Dane County,55025001900.0,1.0,,,Urban,,Mismatch
2865,53597,55025.0,11200,3045.0,Assigned,55025011200,55025.0,WI,Dane County,55025011200.0,1.0,,,Urban,,Mismatch
2869,53563,55105.0,3100,5030.0,Assigned,55105003100,55105.0,WI,Rock County,55105003100.0,1.0,,,Urban,,Mismatch
2882,53597,55025.0,11200,3031.0,Assigned,55025011200,55025.0,WI,Dane County,55025011200.0,1.0,,,Urban,,Mismatch
2886,53597,55025.0,11200,2013.0,Assigned,55025011200,55025.0,WI,Dane County,55025011200.0,1.0,,,Urban,,Mismatch
2899,53597,55025.0,11200,3045.0,Assigned,55025011200,55025.0,WI,Dane County,55025011200.0,1.0,,,Urban,,Mismatch
2904,53718,55025.0,11401,2015.0,Assigned,55025011401,55025.0,WI,Dane County,55025011401.0,1.0,,,Urban,,Mismatch
2912,53188,55133.0,203102,6049.0,Assigned,55133203102,55133.0,WI,Waukesha County,55133203102.0,1.0,,,Urban,,Mismatch
2913,53532,55025.0,13200,5035.0,Assigned,55025013200,55025.0,WI,Dane County,55025013200.0,1.0,,,Urban,,Mismatch
2918,53122,55133.0,201000,1034.0,Assigned,55133201000,55133.0,WI,Waukesha County,55133201000.0,1.0,,,Urban,,Mismatch
2919,53183,55133.0,203804,2015.0,Assigned,55133203804,55133.0,WI,Waukesha County,55133203804.0,1.0,,,Urban,,Mismatch
2926,53045,55133.0,201202,1028.0,Assigned,55133201202,55133.0,WI,Waukesha County,55133201202.0,1.0,,,Urban,,Mismatch
2952,53069,55133.0,204502,4002.0,Assigned,55133204502,55133.0,WI,Waukesha County,55133204502.0,1.0,,,Urban,,Mismatch
2962,53209,55079.0,50102,2000.0,Assigned,55079050102,55079.0,WI,Milwaukee County,55079050102.0,1.0,,,Urban,,Mismatch
2989,53072,55133.0,203306,3002.0,Assigned,55133203306,55133.0,WI,Waukesha County,55133203306.0,1.0,,,Urban,,Mismatch
2990,53058,55133.0,204502,1004.0,Assigned,55133204502,55133.0,WI,Waukesha County,55133204502.0,1.0,,,Urban,,Mismatch
3003,53122,55133.0,201000,5017.0,Assigned,55133201000,55133.0,WI,Waukesha County,55133201000.0,1.0,,,Urban,,Mismatch
3005,53597,55025.0,11200,2015.0,Assigned,55025011200,55025.0,WI,Dane County,55025011200.0,1.0,,,Urban,,Mismatch
3008,53590,55025.0,11402,3003.0,Assigned,55025011402,55025.0,WI,Dane County,55025011402.0,1.0,,,Urban,,Mismatch
3015,53597,55025.0,11200,2015.0,Assigned,55025011200,55025.0,WI,Dane County,55025011200.0,1.0,,,Urban,,Mismatch
3017,53705,55025.0,300,1016.0,Assigned,55025000300,55025.0,WI,Dane County,55025000300.0,1.0,,,Urban,,Mismatch
3020,53066,55133.0,204200,2049.0,Assigned,55133204200,55133.0,WI,Waukesha County,55133204200.0,1.0,,,Urban,,Mismatch
3026,53154,55079.0,160100,2003.0,Assigned,55079160100,55079.0,WI,Milwaukee County,55079160100.0,1.0,,,Urban,,Mismatch
