State-County FIPS Code,Select State,Select County,Total-FIPS-Code,Primary RUCA Code 2010,"Secondary RUCA Code, 2010 (see errata)","Tract Population, 2010","Land Area (square miles), 2010","Population Density (per square mile), 2010",Urban-or-Rural-USDA-Classification
55133,WI,Waukesha County,55133202700,1,1.0,"1,552",0.2,"7,204.80",Urban
55133,WI,Waukesha County,55133202800,1,1.0,"4,219",1.1,"3,956.50",Urban
55133,WI,Waukesha County,55133202901,1,1.0,"4,452",2.0,"2,202.80",Urban
55133,WI,Waukesha County,55133202902,1,1.0,"3,513",1.9,"1,892.30",Urban
55133,WI,Waukesha County,55133203000,1,1.0,"2,641",3.7,720,Urban
55133,WI,Waukesha County,55133203101,1,1.0,"6,536",2.2,"2,966.50",Urban
55133,WI,Waukesha County,55133203102,1,1.0,"6,701",3.4,"1,995.70",Urban
55133,WI,Waukesha County,55133203103,1,1.0,"4,528",0.9,"5,240.80",Urban
55133,WI,Waukesha County,55133203200,1,1.0,"4,106",4.2,973.8,Urban
55133,WI,Waukesha County,55133203303,1,1.0,"3,749",4.8,784.4,Urban
55133,WI,Waukesha County,55133203304,1,1.0,"4,037",6.8,596.5,Urban
55133,WI,Waukesha County,55133203305,1,1.0,"4,328",4.5,958.9,Urban
55133,WI,Waukesha County,55133203306,1,1.0,"5,889",5.9,996.5,Urban
55133,WI,Waukesha County,55133203402,1,1.0,"4,011",2.6,"1,567.00",Urban
55133,WI,Waukesha County,55133203403,1,1.0,"5,504",5.6,979.3,Urban
55133,WI,Waukesha County,55133203404,1,1.0,"3,035",3.2,941.8,Urban
55133,WI,Waukesha County,55133203405,1,1.0,"4,139",5.2,794.1,Urban
55133,WI,Waukesha County,55133203406,1,1.0,"6,425",19.2,335.1,Urban
55133,WI,Waukesha County,55133203500,1,1.0,"6,563",21.3,308.5,Urban
55133,WI,Waukesha County,55133203601,1,1.0,"4,102",3.3,"1,229.20",Urban
55133,WI,Waukesha County,55133203602,1,1.0,"5,897",3.0,"1,974.30",Urban
55133,WI,Waukesha County,55133203702,1,1.0,"5,046",14.8,341,Urban
55133,WI,Waukesha County,55133203703,1,1.0,"3,819",4.4,864.4,Urban
55133,WI,Waukesha County,55133203704,1,1.0,"4,469",6.8,658.9,Urban
55133,WI,Waukesha County,55133203804,1,1.0,"7,210",20.3,354.9,Urban
55133,WI,Waukesha County,55133204003,1,1.0,"3,826",12.8,299.4,Urban
55133,WI,Waukesha County,55133204100,1,1.0,"5,032",22.8,221.1,Urban
55133,WI,Waukesha County,55133204200,1,1.0,"7,197",5.3,"1,364.80",Urban
55133,WI,Waukesha County,55133204301,1,1.0,"4,852",4.7,"1,036.60",Urban
55133,WI,Waukesha County,55133204302,1,1.0,"3,755",2.4,"1,545.00",Urban
